Id,Category
0,12
1,15
2,12
3,15
4,12
5,15
6,15
7,12
8,12
9,15
10,12
11,12
12,15
13,12
14,12
15,12
16,12
17,12
18,15
19,15
20,15
21,12
22,12
23,15
24,12
25,15
26,12
27,15
28,15
29,15
30,12
31,12
32,12
33,15
34,12
35,15
36,15
37,12
38,12
39,15
40,12
41,12
42,12
43,12
44,15
45,15
46,15
47,15
48,12
49,12
50,15
51,15
52,15
53,15
54,15
55,12
56,12
57,15
58,12
59,15
60,12
61,15
62,15
63,15
64,15
65,15
66,15
67,12
68,15
69,12
70,15
71,15
72,12
73,12
74,12
75,15
76,15
77,15
78,15
79,12
80,12
81,12
82,12
83,15
84,12
85,12
86,12
87,15
88,15
89,15
90,15
91,12
92,12
93,12
94,15
95,12
96,12
97,12
98,15
99,12
100,12
101,15
102,15
103,12
104,12
105,12
106,15
107,12
108,12
109,15
110,15
111,12
112,15
113,15
114,15
115,12
116,15
117,12
118,15
119,15
120,15
121,15
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,15
130,15
131,12
132,12
133,12
134,15
135,15
136,12
137,15
138,12
139,12
140,12
141,15
142,15
143,12
144,12
145,12
146,15
147,15
148,15
149,12
150,15
151,15
152,15
153,15
154,15
155,12
156,12
157,15
158,12
159,15
160,15
161,12
162,15
163,12
164,12
165,12
166,12
167,12
168,15
169,12
170,12
171,15
172,15
173,12
174,15
175,12
176,12
177,12
178,15
179,12
180,12
181,12
182,15
183,12
184,15
185,15
186,15
187,12
188,15
189,12
190,15
191,15
192,15
193,12
194,12
195,12
196,12
197,15
198,15
199,15
200,12
201,12
202,15
203,12
204,15
205,15
206,15
207,15
208,15
209,15
210,15
211,15
212,15
213,15
214,15
215,12
216,15
217,15
218,15
219,12
220,15
221,15
222,15
223,12
224,15
225,12
226,12
227,15
228,15
229,15
230,15
231,12
232,15
233,15
234,12
235,15
236,15
237,15
238,12
239,15
240,15
241,15
242,12
243,15
244,15
245,15
246,12
247,15
248,12
249,15
250,12
251,12
252,12
253,15
254,15
255,12
256,15
257,15
258,15
259,12
260,12
261,12
262,15
263,12
264,12
265,15
266,15
267,12
268,15
269,12
270,12
271,12
272,15
273,12
274,12
275,15
276,15
277,12
278,15
279,15
280,12
281,15
282,15
283,12
284,15
285,15
286,12
287,12
288,15
289,15
290,15
291,12
292,12
293,15
294,12
295,12
296,15
297,12
298,12
299,15
300,12
301,12
302,12
303,15
304,15
305,12
306,15
307,15
308,15
309,12
310,15
311,12
312,12
313,15
314,12
315,15
316,12
317,15
318,15
319,15
320,12
321,15
322,15
323,15
324,12
325,15
326,12
327,12
328,15
329,12
330,15
331,15
332,15
333,12
334,12
335,12
336,15
337,15
338,15
339,12
340,15
341,15
342,12
343,12
344,12
345,15
346,15
347,15
348,12
349,12
350,12
351,15
352,12
353,12
354,12
355,12
356,12
357,15
358,15
359,15
360,15
361,12
362,12
363,15
364,15
365,15
366,12
367,12
368,12
369,12
370,15
371,15
372,12
373,15
374,12
375,12
376,12
377,12
378,15
379,15
380,15
381,12
382,15
383,15
384,12
385,15
386,12
387,12
388,12
389,11
390,15
391,15
392,15
393,15
394,12
395,12
396,12
397,12
398,15
399,12
400,12
401,12
402,12
403,12
404,15
405,12
406,15
407,12
408,12
409,12
410,12
411,15
412,12
413,15
414,15
415,15
416,12
417,15
418,12
419,12
420,12
421,15
422,15
423,15
424,15
425,15
426,12
427,15
428,12
429,12
430,15
431,12
432,15
433,15
434,15
435,15
436,15
437,15
438,12
439,12
440,15
441,15
442,12
443,15
444,12
445,12
446,15
447,12
448,12
449,12
450,12
451,15
452,12
453,15
454,15
455,15
456,15
457,15
458,15
459,15
460,12
461,12
462,12
463,12
464,12
465,12
466,15
467,15
468,12
469,15
470,15
471,15
472,12
473,12
474,12
475,12
476,15
477,12
478,15
479,12
480,12
481,12
482,15
483,15
484,12
485,12
486,15
487,12
488,15
489,12
490,12
491,15
492,15
493,15
494,15
495,12
496,12
497,15
498,15
499,15
500,15
501,12
502,15
503,15
504,15
505,12
506,12
507,15
508,15
509,15
510,15
511,12
512,15
513,12
514,12
515,15
516,15
517,15
518,15
519,12
520,15
521,12
522,12
523,15
524,12
525,15
526,15
527,12
528,12
529,15
530,15
531,15
532,15
533,15
534,15
535,12
536,12
537,12
538,12
539,15
540,12
541,12
542,15
543,12
544,12
545,12
546,12
547,15
548,15
549,15
550,15
551,15
552,12
553,15
554,15
555,12
556,15
557,12
558,12
559,12
560,12
561,12
562,12
563,15
564,15
565,15
566,12
567,15
568,12
569,12
570,12
571,15
572,15
573,12
574,12
575,12
576,12
577,12
578,15
579,15
580,12
581,15
582,12
583,12
584,12
585,12
586,15
587,12
588,15
589,15
590,12
591,12
592,12
593,15
594,12
595,12
596,12
597,15
598,12
599,15
600,12
601,12
602,15
603,12
604,15
605,15
606,12
607,15
608,12
609,15
610,12
611,12
612,12
613,12
614,15
615,12
616,12
617,15
618,12
619,12
620,15
621,15
622,12
623,15
624,15
625,15
626,15
627,15
628,12
629,12
630,12
631,12
632,15
633,12
634,15
635,12
636,12
637,12
638,15
639,15
640,12
641,15
642,12
643,12
644,12
645,15
646,12
647,15
648,12
649,15
650,12
651,12
652,15
653,12
654,15
655,12
656,12
657,12
658,12
659,12
660,15
661,12
662,15
663,12
664,15
665,15
666,12
667,12
668,15
669,15
670,15
671,15
672,15
673,15
674,15
675,12
676,15
677,12
678,12
679,15
680,15
681,12
682,12
683,15
684,15
685,12
686,15
687,15
688,15
689,15
690,12
691,15
692,12
693,15
694,15
695,12
696,12
697,15
698,15
699,15
700,15
701,12
702,12
703,12
704,15
705,15
706,15
707,12
708,15
709,15
710,15
711,12
712,12
713,12
714,15
715,15
716,12
717,15
718,15
719,12
720,12
721,15
722,12
723,15
724,15
725,12
726,15
727,12
728,15
729,15
730,12
731,15
732,12
733,15
734,12
735,12
736,15
737,12
738,12
739,12
740,12
741,15
742,15
743,15
744,15
745,15
746,12
747,15
748,12
749,12
750,12
751,15
752,12
753,12
754,12
755,12
756,12
757,15
758,15
759,15
760,12
761,15
762,12
763,12
764,15
765,15
766,12
767,15
768,15
769,15
770,15
771,12
772,15
773,15
774,15
775,15
776,15
777,15
778,15
779,12
780,12
781,15
782,12
783,15
784,15
785,15
786,12
787,12
788,12
789,12
790,15
791,12
792,15
793,15
794,12
795,12
796,15
797,12
798,12
799,12
800,12
801,12
802,15
803,12
804,12
805,12
806,15
807,15
808,12
809,12
810,12
811,12
812,15
813,15
814,15
815,12
816,12
817,12
818,15
819,12
820,15
821,15
822,12
823,15
824,15
825,15
826,15
827,12
828,15
829,15
830,15
831,15
832,12
833,15
834,15
835,12
836,15
837,15
838,15
839,15
840,12
841,12
842,12
843,15
844,15
845,12
846,15
847,15
848,12
849,15
850,15
851,15
852,15
853,15
854,15
855,12
856,15
857,15
858,15
859,12
860,15
861,15
862,12
863,12
864,12
865,12
866,12
867,15
868,12
869,15
870,15
871,12
872,12
873,15
874,15
875,12
876,12
877,12
878,12
879,12
880,12
881,12
882,12
883,12
884,12
885,15
886,12
887,12
888,12
889,15
890,12
891,12
892,15
893,12
894,15
895,12
896,12
897,12
898,12
899,15
900,12
901,15
902,15
903,12
904,15
905,12
906,12
907,12
908,12
909,12
910,15
911,12
912,12
913,12
914,12
915,12
916,15
917,15
918,15
919,15
920,15
921,12
922,12
923,12
924,12
925,12
926,12
927,12
928,12
929,15
930,15
931,12
932,15
933,12
934,15
935,12
936,15
937,15
938,15
939,12
940,15
941,12
942,15
943,15
944,12
945,12
946,15
947,15
948,15
949,12
950,15
951,15
952,12
953,15
954,12
955,15
956,15
957,15
958,12
959,12
960,12
961,12
962,15
963,12
964,12
965,12
966,12
967,15
968,15
969,15
970,15
971,15
972,15
973,15
974,12
975,15
976,15
977,15
978,12
979,12
980,15
981,12
982,12
983,12
984,12
985,12
986,12
987,12
988,15
989,12
990,12
991,15
992,12
993,15
994,12
995,12
996,12
997,15
998,12
999,12
1000,12
1001,15
1002,12
1003,12
1004,12
1005,15
1006,12
1007,15
1008,15
1009,15
1010,12
1011,15
1012,12
1013,12
1014,12
1015,15
1016,12
1017,15
1018,12
1019,12
1020,15
1021,12
1022,15
1023,15
1024,15
1025,15
1026,15
1027,12
1028,15
1029,15
1030,12
1031,15
1032,12
1033,15
1034,15
1035,15
1036,15
1037,15
1038,12
1039,12
1040,15
1041,15
1042,12
1043,15
1044,12
1045,12
1046,12
1047,15
1048,12
1049,15
1050,12
1051,12
1052,15
1053,15
1054,12
1055,12
1056,15
1057,15
1058,15
1059,15
1060,12
1061,12
1062,12
1063,12
1064,15
1065,15
1066,12
1067,12
1068,12
1069,15
1070,15
1071,12
1072,15
1073,12
1074,15
1075,12
1076,15
1077,12
1078,12
1079,12
1080,15
1081,12
1082,12
1083,15
1084,15
1085,15
1086,15
1087,15
1088,15
1089,15
1090,15
1091,15
1092,15
1093,12
1094,15
1095,15
1096,15
1097,15
1098,15
1099,15
1100,15
1101,15
1102,15
1103,15
1104,15
1105,12
1106,12
1107,15
1108,12
1109,15
1110,12
1111,15
1112,15
1113,12
1114,15
1115,12
1116,12
1117,15
1118,12
1119,12
1120,12
1121,15
1122,12
1123,12
1124,15
1125,15
1126,15
1127,15
1128,15
1129,15
1130,12
1131,12
1132,15
1133,15
1134,12
1135,12
1136,15
1137,15
1138,12
1139,15
1140,15
1141,15
1142,15
1143,15
1144,12
1145,12
1146,12
1147,12
1148,15
1149,12
1150,15
1151,12
1152,12
1153,12
1154,12
1155,15
1156,15
1157,12
1158,15
1159,15
1160,15
1161,12
1162,12
1163,15
1164,15
1165,15
1166,15
1167,12
1168,15
1169,15
1170,15
1171,15
1172,12
1173,12
1174,12
1175,15
1176,12
1177,15
1178,15
1179,15
1180,15
1181,12
1182,15
1183,12
1184,12
1185,12
1186,12
1187,12
1188,12
1189,12
1190,12
1191,15
1192,15
1193,15
1194,12
1195,12
1196,15
1197,15
1198,15
1199,15
1200,12
1201,15
1202,12
1203,15
1204,12
1205,15
1206,12
1207,15
1208,12
1209,15
1210,12
1211,15
1212,15
1213,15
1214,12
1215,15
1216,12
1217,12
1218,12
1219,15
1220,15
1221,12
1222,15
1223,12
1224,12
1225,12
1226,15
1227,15
1228,15
1229,15
1230,12
1231,12
1232,15
1233,12
1234,15
1235,12
1236,12
1237,15
1238,12
1239,12
1240,15
1241,15
1242,12
1243,15
1244,12
1245,15
1246,15
1247,15
1248,15
1249,12
1250,15
1251,12
1252,15
1253,15
1254,15
1255,15
1256,15
1257,15
1258,15
1259,15
1260,12
1261,12
1262,15
1263,15
1264,12
1265,15
1266,12
1267,12
1268,15
1269,15
1270,12
1271,15
1272,15
1273,12
1274,15
1275,15
1276,15
1277,15
1278,12
1279,12
1280,12
1281,15
1282,15
1283,15
1284,15
1285,15
1286,12
1287,15
1288,12
1289,15
1290,15
1291,15
1292,15
1293,15
1294,12
1295,15
1296,12
1297,12
1298,15
1299,15
1300,15
1301,15
1302,12
1303,12
1304,15
1305,15
1306,12
1307,15
1308,15
1309,15
1310,15
1311,15
1312,12
1313,15
1314,15
1315,12
1316,15
1317,15
1318,12
1319,15
1320,12
1321,15
1322,12
1323,15
1324,15
1325,15
1326,12
1327,12
1328,12
1329,12
1330,15
1331,15
1332,12
1333,12
1334,12
1335,15
1336,15
1337,12
1338,15
1339,12
1340,12
1341,15
1342,15
1343,15
1344,12
1345,15
1346,15
1347,12
1348,15
1349,15
1350,12
1351,15
1352,12
1353,15
1354,15
1355,15
1356,12
1357,15
1358,15
1359,12
1360,15
1361,15
1362,12
1363,12
1364,12
1365,15
1366,15
1367,12
1368,15
1369,12
1370,12
1371,15
1372,15
1373,12
1374,15
1375,12
1376,15
1377,12
1378,15
1379,12
1380,15
1381,15
1382,12
1383,12
1384,15
1385,12
1386,12
1387,15
1388,15
1389,15
1390,12
1391,12
1392,12
1393,12
1394,12
1395,15
1396,12
1397,15
1398,12
1399,12
1400,15
1401,15
1402,15
1403,15
1404,15
1405,15
1406,15
1407,12
1408,12
1409,15
1410,12
1411,12
1412,15
1413,15
1414,12
1415,15
1416,12
1417,12
1418,15
1419,15
1420,15
1421,12
1422,12
1423,12
1424,15
1425,15
1426,15
1427,15
1428,12
1429,15
1430,12
1431,12
1432,15
1433,12
1434,12
1435,15
1436,15
1437,12
1438,15
1439,15
1440,12
1441,15
1442,12
1443,12
1444,15
1445,12
1446,12
1447,15
1448,15
1449,15
1450,12
1451,15
1452,15
1453,12
1454,15
1455,15
1456,12
1457,15
1458,15
1459,12
1460,15
1461,15
1462,15
1463,12
1464,12
1465,15
1466,15
1467,12
1468,15
1469,15
1470,12
1471,12
1472,12
1473,15
1474,12
1475,15
1476,12
1477,15
1478,15
1479,15
1480,15
1481,12
1482,15
1483,12
1484,15
1485,12
1486,12
1487,12
1488,15
1489,15
1490,15
1491,12
1492,15
1493,12
1494,12
1495,12
1496,15
1497,12
1498,15
1499,15
1500,12
1501,15
1502,12
1503,15
1504,12
1505,12
1506,15
1507,12
1508,15
1509,15
1510,12
1511,12
1512,12
1513,12
1514,12
1515,15
1516,12
1517,15
1518,15
1519,15
1520,15
1521,15
1522,15
1523,12
1524,12
1525,15
1526,12
1527,12
1528,15
1529,15
1530,12
1531,15
1532,15
1533,15
1534,15
1535,15
1536,12
1537,15
1538,15
1539,12
1540,12
1541,12
1542,15
1543,12
1544,15
1545,12
1546,15
1547,12
1548,15
1549,15
1550,15
1551,15
1552,15
1553,15
1554,15
1555,15
1556,12
1557,12
1558,12
1559,15
1560,12
1561,15
1562,12
1563,12
1564,15
1565,15
1566,15
1567,15
1568,15
1569,15
1570,15
1571,12
1572,12
1573,15
1574,12
1575,15
1576,12
1577,15
1578,15
1579,15
1580,15
1581,15
1582,12
1583,12
1584,12
1585,12
1586,15
1587,15
1588,15
1589,15
1590,12
1591,15
1592,12
1593,15
1594,12
1595,15
1596,12
1597,12
1598,12
1599,15
1600,12
1601,12
1602,15
1603,12
1604,12
1605,12
1606,15
1607,15
1608,12
1609,15
1610,12
1611,12
1612,12
1613,12
1614,15
1615,15
1616,15
1617,12
1618,12
1619,12
1620,15
1621,12
1622,15
1623,12
1624,12
1625,15
1626,15
1627,15
1628,12
1629,15
1630,12
1631,15
1632,15
1633,15
1634,12
1635,12
1636,12
1637,15
1638,15
1639,15
1640,15
1641,15
1642,15
1643,12
1644,15
1645,15
1646,15
1647,12
1648,12
1649,12
1650,15
1651,12
1652,15
1653,12
1654,15
1655,15
1656,15
1657,12
1658,12
1659,15
1660,12
1661,12
1662,15
1663,12
1664,15
1665,15
1666,12
1667,12
1668,15
1669,12
1670,12
1671,15
1672,15
1673,15
1674,12
1675,15
1676,15
1677,12
1678,15
1679,15
1680,12
1681,15
1682,12
1683,15
1684,15
1685,15
